hospital,week_start,estimated_total
HOSPITAL AROLDO TOURINHO,2026-03-02,13.1
HOSPITAL AROLDO TOURINHO,2026-03-09,49.24
HOSPITAL AROLDO TOURINHO,2026-03-16,52.81
HOSPITAL AROLDO TOURINHO,2026-03-23,55.61
HOSPITAL AROLDO TOURINHO,2026-03-30,51.47
HOSPITAL DAS CLINICAS DOUTOR MARIO RIBEIRO DA SILVEIRA,2026-03-02,102.02
HOSPITAL DAS CLINICAS DOUTOR MARIO RIBEIRO DA SILVEIRA,2026-03-09,142.42
HOSPITAL DAS CLINICAS DOUTOR MARIO RIBEIRO DA SILVEIRA,2026-03-16,163.16
HOSPITAL DAS CLINICAS DOUTOR MARIO RIBEIRO DA SILVEIRA,2026-03-23,168.86
HOSPITAL DAS CLINICAS DOUTOR MARIO RIBEIRO DA SILVEIRA,2026-03-30,180.3
HOSPITAL DILSON GODINHO,2026-03-02,30.24
HOSPITAL DILSON GODINHO,2026-03-09,53.93
HOSPITAL DILSON GODINHO,2026-03-16,56.07
HOSPITAL DILSON GODINHO,2026-03-23,55.06
HOSPITAL DILSON GODINHO,2026-03-30,56.25
HOSPITAL DR ALPHEU GONCALVES DE QUADROS,2026-03-02,4.87
HOSPITAL DR ALPHEU GONCALVES DE QUADROS,2026-03-09,43.66
HOSPITAL DR ALPHEU GONCALVES DE QUADROS,2026-03-16,56.79
HOSPITAL DR ALPHEU GONCALVES DE QUADROS,2026-03-23,71.38
HOSPITAL DR ALPHEU GONCALVES DE QUADROS,2026-03-30,72.15
HOSPITAL SANTA CASA DE MONTES CLAROS,2026-03-02,84.34
HOSPITAL SANTA CASA DE MONTES CLAROS,2026-03-09,100.03
HOSPITAL SANTA CASA DE MONTES CLAROS,2026-03-16,104.55
HOSPITAL SANTA CASA DE MONTES CLAROS,2026-03-23,106.77
HOSPITAL SANTA CASA DE MONTES CLAROS,2026-03-30,89.99
HOSPITAL UNIVERSITARIO CLEMENTE DE FARIA,2026-03-02,30.51
HOSPITAL UNIVERSITARIO CLEMENTE DE FARIA,2026-03-09,61.37
HOSPITAL UNIVERSITARIO CLEMENTE DE FARIA,2026-03-16,71.31
HOSPITAL UNIVERSITARIO CLEMENTE DE FARIA,2026-03-23,76.14
HOSPITAL UNIVERSITARIO CLEMENTE DE FARIA,2026-03-30,79.43
PRONTOCOR,2026-03-02,2.15
PRONTOCOR,2026-03-09,38.69
PRONTOCOR,2026-03-16,49.7
PRONTOCOR,2026-03-23,62.87
PRONTOCOR,2026-03-30,66.65
